symbol,session,action,reason,rows_affected,bad_rows,outside_regular_rows,file
ABB,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_ABB_5minute_20230901_20260901.parquet
ABB,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_ABB_5minute_20230901_20260901.parquet
ADANIENSOL,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_ADANIENSOL_5minute_20230901_20260901.parquet
ADANIENSOL,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_ADANIENSOL_5minute_20230901_20260901.parquet
ADANIENT,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_ADANIENT_5minute_20230901_20260901.parquet
ADANIENT,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_ADANIENT_5minute_20230901_20260901.parquet
ADANIGREEN,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_ADANIGREEN_5minute_20230901_20260901.parquet
ADANIGREEN,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_ADANIGREEN_5minute_20230901_20260901.parquet
ADANIPORTS,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_ADANIPORTS_5minute_20230901_20260901.parquet
ADANIPORTS,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_ADANIPORTS_5minute_20230901_20260901.parquet
ADANIPOWER,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_ADANIPOWER_5minute_20230901_20260901.parquet
ADANIPOWER,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_ADANIPOWER_5minute_20230901_20260901.parquet
AMBUJACEM,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_AMBUJACEM_5minute_20230901_20260901.parquet
AMBUJACEM,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_AMBUJACEM_5minute_20230901_20260901.parquet
APOLLOHOSP,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_APOLLOHOSP_5minute_20230901_20260901.parquet
APOLLOHOSP,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_APOLLOHOSP_5minute_20230901_20260901.parquet
ASIANPAINT,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_ASIANPAINT_5minute_20230901_20260901.parquet
ASIANPAINT,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_ASIANPAINT_5minute_20230901_20260901.parquet
AXISBANK,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_AXISBANK_5minute_20230901_20260901.parquet
AXISBANK,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_AXISBANK_5minute_20230901_20260901.parquet
BAJAJ-AUTO,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_BAJAJ-AUTO_5minute_20230901_20260901.parquet
BAJAJ-AUTO,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_BAJAJ-AUTO_5minute_20230901_20260901.parquet
BAJAJFINSV,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_BAJAJFINSV_5minute_20230901_20260901.parquet
BAJAJFINSV,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_BAJAJFINSV_5minute_20230901_20260901.parquet
BAJAJHLDNG,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_BAJAJHLDNG_5minute_20230901_20260901.parquet
BAJAJHLDNG,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_BAJAJHLDNG_5minute_20230901_20260901.parquet
BAJFINANCE,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_BAJFINANCE_5minute_20230901_20260901.parquet
BAJFINANCE,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_BAJFINANCE_5minute_20230901_20260901.parquet
BANKBARODA,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_BANKBARODA_5minute_20230901_20260901.parquet
BANKBARODA,2024-06-25,EXCLUDE_SESSION,invalid_ohlcv,75,1,0,NSE_BANKBARODA_5minute_20230901_20260901.parquet
BANKBARODA,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_BANKBARODA_5minute_20230901_20260901.parquet
BEL,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_BEL_5minute_20230901_20260901.parquet
BEL,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_BEL_5minute_20230901_20260901.parquet
BHARTIARTL,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_BHARTIARTL_5minute_20230901_20260901.parquet
BHARTIARTL,2024-06-25,EXCLUDE_SESSION,invalid_ohlcv,75,1,0,NSE_BHARTIARTL_5minute_20230901_20260901.parquet
BHARTIARTL,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_BHARTIARTL_5minute_20230901_20260901.parquet
BOSCHLTD,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_BOSCHLTD_5minute_20230901_20260901.parquet
BOSCHLTD,2024-06-25,EXCLUDE_SESSION,invalid_ohlcv,75,1,0,NSE_BOSCHLTD_5minute_20230901_20260901.parquet
BOSCHLTD,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_BOSCHLTD_5minute_20230901_20260901.parquet
BPCL,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_BPCL_5minute_20230901_20260901.parquet
BPCL,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_BPCL_5minute_20230901_20260901.parquet
BRITANNIA,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_BRITANNIA_5minute_20230901_20260901.parquet
BRITANNIA,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_BRITANNIA_5minute_20230901_20260901.parquet
CANBK,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_CANBK_5minute_20230901_20260901.parquet
